Wine Region,Country,Sub-Region/Appellation,Primary Red Grapes,Primary White Grapes,Wine Style,Climate,Notable Wines,Protected Status
Maipo Valley,Chile,Alto Maipo,Cabernet Sauvignon / Carménère,Sauvignon Blanc / Chardonnay,Full-bodied reds,Mediterranean,Almaviva / Don Melchor / Concha y Toro,DO
Casablanca Valley,Chile,Casablanca,Pinot Noir / Merlot,Sauvignon Blanc / Chardonnay,Cool-climate whites / reds,Cool Coastal,Santa Rita / Veramonte / Cono Sur,DO
Western Cape,South Africa,Stellenbosch / Franschhoek / Swartland,Pinotage / Cabernet Sauvignon / Shiraz,Chenin Blanc / Sauvignon Blanc,Varied: bold reds / rich whites,Mediterranean,Kanonkop / Eben Sadie / Boekenhoutskloof,WO
Franschhoek,South Africa,Franschhoek Valley,Cabernet Sauvignon / Merlot / Pinotage,Chardonnay / Semillon / Chenin Blanc,Cap Classique sparkling / Varied,Mediterranean,Graham Beck / Rupert & Rothschild / Rickety Bridge,WO
Mosel,Germany,Bernkastel / Piesport / Wehlen,–,Riesling,Off-dry to sweet Riesling / Sekt,Cool Continental,Dr. Loosen / JJ Prüm / Egon Müller,Prädikatswein
Rheingau,Germany,Hochheim / Rüdesheim / Johannisberg,Pinot Noir (Spätburgunder),Riesling,Dry and classic Riesling,Cool Continental,Schloss Johannisberg / Robert Weil,Prädikatswein
Pfalz,Germany,Mittelhaardt / Deutsche Weinstrasse,Dornfelder / Portugieser / Pinot Noir,Riesling / Müller-Thurgau,Richer Riesling / Reds,Warm Continental,Müller-Catoir / Dr. Bürklin-Wolf,Prädikatswein
Wachau,Austria,Wachau (Danube),–,Grüner Veltliner / Riesling,Dry mineral whites,Continental (river-moderated),F.X. Pichler / Rudi Pichler / Prager,DAC
Burgenland,Austria,Neusiedlersee / Mittelburgenland,Blaufränkisch / Zweigelt / St. Laurent,Welschriesling / Chardonnay,Noble sweet (Trockenbeerenauslese) / Reds,Pannonian,Kracher / Umathum / Gesellmann,DAC
Tokaj,Hungary,Tokaj-Hegyalja,–,Furmint / Hárslevelű / Yellow Muscat,Aszú sweet / Dry Furmint,Continental,Royal Tokaji / Oremus / Disznókő,Protected (EU)
Georgian Wine Regions,Georgia,Kakheti / Kartli / Imereti,Saperavi / Rkatsiteli,Rkatsiteli / Mtsvane,Amber (qvevri) / Red,Continental,Pheasant's Tears / Chateau Mukhrani,Protected (EU/GI)
Bekaa Valley,Lebanon,Bekaa Valley,Cinsault / Cabernet Sauvignon / Syrah,Obaideh / Merwah,Full-bodied reds,Semi-arid Mediterranean,Château Musar / Ksara / Massaya,No
Nashik,India,Nashik Valley,Shiraz / Cabernet Sauvignon,Chenin Blanc / Sauvignon Blanc / Viognier,Varied,Semi-arid,Sula Vineyards / York Winery / Fratelli,No
