Common Name,Scientific Name,Class,Order,IUCN Status,Population Trend,Population Estimate,Primary Threat,Secondary Threat,Habitat,Region,Country,Endemic,Last Assessed
Cross River Gorilla,Gorilla gorilla diehli,Mammalia,Primates,Critically Endangered,Decreasing,250-300,Hunting,Habitat loss,Tropical forest,Africa,Nigeria; Cameroon,Yes,2016
Western Lowland Gorilla,Gorilla gorilla gorilla,Mammalia,Primates,Critically Endangered,Decreasing,~316000,Disease,Hunting,Tropical forest,Africa,Gabon; Congo; Cameroon,Yes,2016
Mountain Gorilla,Gorilla beringei beringei,Mammalia,Primates,Endangered,Increasing,~1063,Habitat loss,Disease,Montane forest,Africa,Uganda; Rwanda; DR Congo,Yes,2018
Grauer's Gorilla,Gorilla beringei graueri,Mammalia,Primates,Critically Endangered,Decreasing,~6800,Hunting,Mining,Tropical forest,Africa,DR Congo,Yes,2016
Eastern Chimpanzee,Pan troglodytes schweinfurthii,Mammalia,Primates,Endangered,Decreasing,180000-256000,Habitat loss,Disease,Tropical forest,Africa,Uganda; Tanzania; DR Congo,Yes,2016
Western Chimpanzee,Pan troglodytes verus,Mammalia,Primates,Critically Endangered,Decreasing,~52800,Habitat loss,Hunting,Tropical forest,Africa,Guinea; Liberia; Ivory Coast,Yes,2016
Nigeria-Cameroon Chimpanzee,Pan troglodytes ellioti,Mammalia,Primates,Endangered,Decreasing,~6000-9000,Habitat loss,Hunting,Tropical forest,Africa,Nigeria; Cameroon,Yes,2016
Bonobo,Pan paniscus,Mammalia,Primates,Endangered,Decreasing,15000-20000,Hunting,Habitat loss,Tropical forest,Africa,DR Congo,Yes,2016
Hainan Gibbon,Nomascus hainanus,Mammalia,Primates,Critically Endangered,Increasing,~37,Habitat loss,Hunting,Tropical forest,Asia,China,Yes,2020
Cao Vit Gibbon,Nomascus nasutus,Mammalia,Primates,Critically Endangered,Stable,~120,Habitat loss,Hunting,Tropical forest,Asia,Vietnam; China,Yes,2020
Western Hoolock Gibbon,Hoolock hoolock,Mammalia,Primates,Endangered,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,Asia,India; Bangladesh; Myanmar,No,2019
Siamang,Symphalangus syndactylus,Mammalia,Primates,Endangered,Decreasing,Unknown,Deforestation,Illegal wildlife trade,Tropical forest,Asia,Indonesia; Malaysia,No,2020
Golden Lion Tamarin,Leontopithecus rosalia,Mammalia,Primates,Endangered,Stable,~2500,Deforestation,Disease,Tropical forest,South America,Brazil,Yes,2019
Black Lion Tamarin,Leontopithecus chrysopygus,Mammalia,Primates,Endangered,Stable,~1600,Deforestation,Urbanisation,Tropical forest,South America,Brazil,Yes,2020
Cotton-top Tamarin,Saguinus oedipus,Mammalia,Primates,Critically Endangered,Decreasing,~7400,Deforestation,Illegal wildlife trade,Tropical forest,South America,Colombia,Yes,2019
Northern Muriqui,Brachyteles hypoxanthus,Mammalia,Primates,Critically Endangered,Decreasing,~1000,Deforestation,Hunting,Tropical forest,South America,Brazil,Yes,2018
Brown Spider Monkey,Ateles hybridus,Mammalia,Primates,Critically Endangered,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,South America,Colombia; Venezuela,Yes,2020
Black-and-white Ruffed Lemur,Varecia variegata,Mammalia,Primates,Critically Endangered,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,Africa,Madagascar,Yes,2020
Red Ruffed Lemur,Varecia rubra,Mammalia,Primates,Critically Endangered,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,Africa,Madagascar,Yes,2020
Indri,Indri indri,Mammalia,Primates,Critically Endangered,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,Africa,Madagascar,Yes,2020
Ring-tailed Lemur,Lemur catta,Mammalia,Primates,Endangered,Decreasing,2000-2400,Habitat loss,Illegal wildlife trade,Shrubland,Africa,Madagascar,Yes,2020
Aye-aye,Daubentonia madagascariensis,Mammalia,Primates,Endangered,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,Africa,Madagascar,Yes,2020
Madame Berthe's Mouse Lemur,Microcebus berthae,Mammalia,Primates,Critically Endangered,Decreasing,Unknown,Deforestation,Habitat loss,Tropical forest,Africa,Madagascar,Yes,2020
Silky Sifaka,Propithecus candidus,Mammalia,Primates,Critically Endangered,Decreasing,<250,Deforestation,Hunting,Tropical forest,Africa,Madagascar,Yes,2020
Verreaux's Sifaka,Propithecus verreauxi,Mammalia,Primates,Critically Endangered,Decreasing,Unknown,Deforestation,Hunting,Shrubland,Africa,Madagascar,Yes,2020
Proboscis Monkey,Nasalis larvatus,Mammalia,Primates,Endangered,Decreasing,Unknown,Deforestation,Hunting,Mangrove,Asia,Indonesia; Malaysia; Brunei,Yes,2020
Golden Snub-nosed Monkey,Rhinopithecus roxellana,Mammalia,Primates,Endangered,Decreasing,~20000,Habitat loss,Hunting,Temperate forest,Asia,China,Yes,2020
Tonkin Snub-nosed Monkey,Rhinopithecus avunculus,Mammalia,Primates,Critically Endangered,Decreasing,<250,Hunting,Habitat loss,Tropical forest,Asia,Vietnam,Yes,2020
Cat Ba Langur,Trachypithecus poliocephalus,Mammalia,Primates,Critically Endangered,Increasing,~70,Hunting,Habitat loss,Tropical forest,Asia,Vietnam,Yes,2020
Roloway Monkey,Cercopithecus roloway,Mammalia,Primates,Critically Endangered,Decreasing,<2000,Hunting,Deforestation,Tropical forest,Africa,Ghana; Ivory Coast,Yes,2019
Drill,Mandrillus leucophaeus,Mammalia,Primates,Endangered,Decreasing,Unknown,Hunting,Habitat loss,Tropical forest,Africa,Nigeria; Cameroon,Yes,2019
Lion-tailed Macaque,Macaca silenus,Mammalia,Primates,Endangered,Decreasing,3000-3500,Deforestation,Habitat loss,Tropical forest,Asia,India,Yes,2020
Barbary Macaque,Macaca sylvanus,Mammalia,Primates,Endangered,Decreasing,8000-10000,Habitat loss,Illegal wildlife trade,Temperate forest,Africa,Morocco; Algeria,Yes,2020
Red Slender Loris,Loris tardigradus,Mammalia,Primates,Endangered,Decreasing,Unknown,Deforestation,Illegal wildlife trade,Tropical forest,Asia,Sri Lanka,Yes,2020
Javan Slow Loris,Nycticebus javanicus,Mammalia,Primates,Critically Endangered,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Tropical forest,Asia,Indonesia,Yes,2020
Philippine Tarsier,Carlito syrichta,Mammalia,Primates,Near Threatened,Decreasing,Unknown,Habitat loss,Illegal wildlife trade,Tropical forest,Asia,Philippines,Yes,2019
Javan Rhinoceros,Rhinoceros sondaicus,Mammalia,Perissodactyla,Critically Endangered,Stable,~76,Habitat loss,Poaching,Tropical forest,Asia,Indonesia,Yes,2019
Sumatran Rhinoceros,Dicerorhinus sumatrensis,Mammalia,Perissodactyla,Critically Endangered,Decreasing,<50,Habitat loss,Poaching,Tropical forest,Asia,Indonesia,Yes,2019
Black Rhinoceros,Diceros bicornis,Mammalia,Perissodactyla,Critically Endangered,Increasing,~6500,Poaching,Habitat loss,Savanna,Africa,Namibia; South Africa; Kenya,No,2020
White Rhinoceros,Ceratotherium simum,Mammalia,Perissodactyla,Near Threatened,Decreasing,~15900,Poaching,Habitat loss,Savanna,Africa,South Africa; Namibia; Kenya,No,2020
Greater One-horned Rhinoceros,Rhinoceros unicornis,Mammalia,Perissodactyla,Vulnerable,Increasing,~4014,Poaching,Habitat loss,Grassland,Asia,India; Nepal,No,2018
Przewalski's Horse,Equus ferus przewalskii,Mammalia,Perissodactyla,Endangered,Increasing,~760,Habitat loss,Disease,Grassland,Asia,Mongolia; China,Yes,2011
Grevy's Zebra,Equus grevyi,Mammalia,Perissodactyla,Endangered,Stable,~2000,Habitat loss,Hunting,Savanna,Africa,Kenya; Ethiopia,Yes,2016
African Wild Ass,Equus africanus,Mammalia,Perissodactyla,Critically Endangered,Decreasing,<200,Hunting,Habitat loss,Desert,Africa,Eritrea; Ethiopia,Yes,2015
Mountain Tapir,Tapirus pinchaque,Mammalia,Perissodactyla,Endangered,Decreasing,<2500,Habitat loss,Hunting,Montane forest,South America,Colombia; Ecuador; Peru,Yes,2016
Malayan Tapir,Tapirus indicus,Mammalia,Perissodactyla,Endangered,Decreasing,<2500,Deforestation,Hunting,Tropical forest,Asia,Malaysia; Indonesia; Thailand,Yes,2016
Baird's Tapir,Tapirus bairdii,Mammalia,Perissodactyla,Endangered,Decreasing,<4500,Deforestation,Hunting,Tropical forest,Central America,Mexico; Costa Rica; Panama,Yes,2016
African Forest Elephant,Loxodonta cyclotis,Mammalia,Proboscidea,Critically Endangered,Decreasing,Unknown,Poaching,Habitat loss,Tropical forest,Africa,Gabon; Congo; Cameroon,Yes,2021
African Savanna Elephant,Loxodonta africana,Mammalia,Proboscidea,Endangered,Decreasing,~415000,Poaching,Human-wildlife conflict,Savanna,Africa,Botswana; Zimbabwe; Tanzania,Yes,2021
Asian Elephant,Elephas maximus,Mammalia,Proboscidea,Endangered,Decreasing,40000-50000,Habitat loss,Human-wildlife conflict,Tropical forest,Asia,India; Sri Lanka; Thailand,Yes,2019
Sumatran Elephant,Elephas maximus sumatranus,Mammalia,Proboscidea,Critically Endangered,Decreasing,1700-2000,Deforestation,Human-wildlife conflict,Tropical forest,Asia,Indonesia,Yes,2011
Sri Lankan Elephant,Elephas maximus maximus,Mammalia,Proboscidea,Endangered,Decreasing,~6000,Habitat loss,Human-wildlife conflict,Tropical forest,Asia,Sri Lanka,Yes,2019
Saola,Pseudoryx nghetinhensis,Mammalia,Artiodactyla,Critically Endangered,Decreasing,<100,Hunting,Habitat loss,Tropical forest,Asia,Vietnam; Laos,Yes,2016
Addax,Addax nasomaculatus,Mammalia,Artiodactyla,Critically Endangered,Decreasing,<100,Hunting,Habitat loss,Desert,Africa,Niger; Chad,Yes,2016
Dama Gazelle,Nanger dama,Mammalia,Artiodactyla,Critically Endangered,Decreasing,<300,Hunting,Habitat loss,Desert,Africa,Chad; Niger; Mali,Yes,2016
Scimitar-horned Oryx,Oryx dammah,Mammalia,Artiodactyla,Endangered,Increasing,~140,Hunting,Habitat loss,Desert,Africa,Chad,Yes,2023
Arabian Oryx,Oryx leucoryx,Mammalia,Artiodactyla,Vulnerable,Stable,~1220,Hunting,Habitat loss,Desert,Asia,Oman; Saudi Arabia; UAE,Yes,2017
Hirola,Beatragus hunteri,Mammalia,Artiodactyla,Critically Endangered,Decreasing,~500,Disease,Habitat loss,Grassland,Africa,Kenya; Somalia,Yes,2017
Banteng,Bos javanicus,Mammalia,Artiodactyla,Endangered,Decreasing,5000-8000,Hunting,Habitat loss,Tropical forest,Asia,Indonesia; Malaysia; Cambodia,Yes,2016
Kouprey,Bos sauveli,Mammalia,Artiodactyla,Critically Endangered,Decreasing,Unknown (possibly extinct),Hunting,Habitat loss,Tropical forest,Asia,Cambodia; Vietnam; Laos,Yes,2016
Wild Yak,Bos mutus,Mammalia,Artiodactyla,Vulnerable,Decreasing,15000-20000,Hunting,Habitat loss,Montane,Asia,China; India,Yes,2016
Gaur,Bos gaurus,Mammalia,Artiodactyla,Vulnerable,Decreasing,~21000,Hunting,Habitat loss,Tropical forest,Asia,India; Myanmar; Thailand,No,2016
Lowland Anoa,Bubalus depressicornis,Mammalia,Artiodactyla,Endangered,Decreasing,<2500,Hunting,Habitat loss,Tropical forest,Asia,Indonesia,Yes,2016
Tamaraw,Bubalus mindorensis,Mammalia,Artiodactyla,Critically Endangered,Stable,~600,Hunting,Habitat loss,Grassland,Asia,Philippines,Yes,2016
Wild Water Buffalo,Bubalus arnee,Mammalia,Artiodactyla,Endangered,Decreasing,<4000,Habitat loss,Hunting,Wetland,Asia,India; Nepal; Bhutan,No,2019
Saiga Antelope,Saiga tatarica,Mammalia,Artiodactyla,Near Threatened,Increasing,~1900000,Poaching,Disease,Grassland,Asia,Kazakhstan; Mongolia; Russia,No,2023
Chiru,Pantholops hodgsonii,Mammalia,Artiodactyla,Near Threatened,Increasing,~100000,Poaching,Habitat loss,Montane,Asia,China; India,Yes,2016
Pygmy Hog,Porcula salvania,Mammalia,Artiodactyla,Endangered,Increasing,<250,Habitat loss,Agriculture,Grassland,Asia,India,Yes,2019
Bactrian Camel,Camelus ferus,Mammalia,Artiodactyla,Critically Endangered,Decreasing,~950,Hunting,Habitat loss,Desert,Asia,China; Mongolia,Yes,2008
Vicuna,Vicugna vicugna,Mammalia,Artiodactyla,Near Threatened,Increasing,~350000,Poaching,Habitat loss,Montane,South America,Peru; Bolivia; Chile; Argentina,Yes,2018
Pygmy Hippopotamus,Choeropsis liberiensis,Mammalia,Artiodactyla,Endangered,Decreasing,<2500,Deforestation,Hunting,Tropical forest,Africa,Liberia; Sierra Leone; Guinea,Yes,2015
Common Hippopotamus,Hippopotamus amphibius,Mammalia,Artiodactyla,Vulnerable,Decreasing,115000-130000,Hunting,Habitat loss,Freshwater river,Africa,Zambia; Tanzania; Uganda,Yes,2016
Okapi,Okapia johnstoni,Mammalia,Artiodactyla,Endangered,Decreasing,Unknown,Hunting,Habitat loss,Tropical forest,Africa,DR Congo,Yes,2015
Masai Giraffe,Giraffa camelopardalis tippelskirchi,Mammalia,Artiodactyla,Endangered,Decreasing,~35000,Poaching,Habitat loss,Savanna,Africa,Kenya; Tanzania,Yes,2019
Nubian Giraffe,Giraffa camelopardalis camelopardalis,Mammalia,Artiodactyla,Critically Endangered,Increasing,~2645,Poaching,Habitat loss,Savanna,Africa,Ethiopia; South Sudan; Uganda,Yes,2018
Reticulated Giraffe,Giraffa camelopardalis reticulata,Mammalia,Artiodactyla,Endangered,Decreasing,~15985,Poaching,Habitat loss,Savanna,Africa,Kenya; Somalia; Ethiopia,Yes,2018
Chinese Water Deer,Hydropotes inermis,Mammalia,Artiodactyla,Vulnerable,Decreasing,<10000,Habitat loss,Hunting,Wetland,Asia,China; South Korea,No,2015
Pere David's Deer,Elaphurus davidianus,Mammalia,Artiodactyla,Extinct in the Wild,Increasing,0 (wild),Habitat loss,Hunting,Wetland,Asia,China,Yes,2016
Bawean Deer,Axis kuhlii,Mammalia,Artiodactyla,Critically Endangered,Decreasing,<250,Habitat loss,Hunting,Tropical forest,Asia,Indonesia,Yes,2015
Kashmir Stag,Cervus hanglu hanglu,Mammalia,Artiodactyla,Critically Endangered,Decreasing,<250,Habitat loss,Hunting,Temperate forest,Asia,India,Yes,2017
Chinese Pangolin,Manis pentadactyla,Mammalia,Pholidota,Critically Endangered,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Tropical forest,Asia,China; Nepal; Myanmar,No,2019
Sunda Pangolin,Manis javanica,Mammalia,Pholidota,Critically Endangered,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Tropical forest,Asia,Indonesia; Malaysia; Thailand,No,2019
Indian Pangolin,Manis crassicaudata,Mammalia,Pholidota,Endangered,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Grassland,Asia,India; Pakistan; Sri Lanka,No,2019
Philippine Pangolin,Manis culionensis,Mammalia,Pholidota,Critically Endangered,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Tropical forest,Asia,Philippines,Yes,2019
White-bellied Pangolin,Phataginus tricuspis,Mammalia,Pholidota,Endangered,Decreasing,Unknown,Hunting,Illegal wildlife trade,Tropical forest,Africa,Nigeria; Cameroon; DR Congo,Yes,2019
Giant Pangolin,Smutsia gigantea,Mammalia,Pholidota,Endangered,Decreasing,Unknown,Hunting,Illegal wildlife trade,Savanna,Africa,Uganda; Cameroon; Gabon,Yes,2019
Temminck's Ground Pangolin,Smutsia temminckii,Mammalia,Pholidota,Vulnerable,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Savanna,Africa,South Africa; Zimbabwe; Kenya,Yes,2019
Giant Panda,Ailuropoda melanoleuca,Mammalia,Carnivora,Vulnerable,Increasing,~1864,Habitat loss,Climate change,Temperate forest,Asia,China,Yes,2016
Polar Bear,Ursus maritimus,Mammalia,Carnivora,Vulnerable,Unknown,22000-31000,Climate change,Pollution,Arctic,Arctic,Canada; Greenland; Russia; USA; Norway,No,2015
Sloth Bear,Melursus ursinus,Mammalia,Carnivora,Vulnerable,Decreasing,Unknown,Habitat loss,Human-wildlife conflict,Tropical forest,Asia,India; Sri Lanka; Nepal,No,2020
Sun Bear,Helarctos malayanus,Mammalia,Carnivora,Vulnerable,Decreasing,Unknown,Deforestation,Illegal wildlife trade,Tropical forest,Asia,Indonesia; Malaysia; Myanmar,No,2016
Andean Bear,Tremarctos ornatus,Mammalia,Carnivora,Vulnerable,Decreasing,Unknown,Habitat loss,Hunting,Montane forest,South America,Colombia; Peru; Ecuador,Yes,2016
Asiatic Black Bear,Ursus thibetanus,Mammalia,Carnivora,Vulnerable,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Temperate forest,Asia,China; India; Japan,No,2016
African Wild Dog,Lycaon pictus,Mammalia,Carnivora,Endangered,Decreasing,~6600,Habitat loss,Disease,Savanna,Africa,Botswana; Tanzania; Zimbabwe,Yes,2020
Ethiopian Wolf,Canis simensis,Mammalia,Carnivora,Endangered,Decreasing,<500,Disease,Habitat loss,Montane,Africa,Ethiopia,Yes,2011
Red Wolf,Canis rufus,Mammalia,Carnivora,Critically Endangered,Decreasing,<20 (wild),Habitat loss,Human-wildlife conflict,Temperate forest,North America,USA,Yes,2018
Dhole,Cuon alpinus,Mammalia,Carnivora,Endangered,Decreasing,949-2215,Habitat loss,Disease,Tropical forest,Asia,India; Thailand; Indonesia,No,2015
Darwin's Fox,Lycalopex fulvipes,Mammalia,Carnivora,Endangered,Decreasing,<1000,Habitat loss,Disease,Temperate forest,South America,Chile,Yes,2016
Island Fox,Urocyon littoralis,Mammalia,Carnivora,Near Threatened,Stable,~5000,Disease,Invasive species,Shrubland,North America,USA,Yes,2013
Sea Otter,Enhydra lutris,Mammalia,Carnivora,Endangered,Increasing,~125000,Pollution,Hunting,Marine - coastal,North America,USA; Russia; Canada,No,2021
Giant Otter,Pteronura brasiliensis,Mammalia,Carnivora,Endangered,Decreasing,1000-5000,Habitat loss,Pollution,Freshwater river,South America,Brazil; Peru; Guyana,Yes,2021
Black-footed Ferret,Mustela nigripes,Mammalia,Carnivora,Endangered,Increasing,~370,Disease,Habitat loss,Grassland,North America,USA,Yes,2015
European Mink,Mustela lutreola,Mammalia,Carnivora,Critically Endangered,Decreasing,Unknown,Invasive species,Habitat loss,Freshwater river,Europe,Spain; Romania; Ukraine,Yes,2016
Hairy-nosed Otter,Lutra sumatrana,Mammalia,Carnivora,Endangered,Decreasing,Unknown,Habitat loss,Hunting,Wetland,Asia,Cambodia; Vietnam; Indonesia,Yes,2015
Marine Otter,Lontra felina,Mammalia,Carnivora,Endangered,Decreasing,<1000,Hunting,Pollution,Marine - coastal,South America,Peru; Chile,Yes,2021
Red Panda,Ailurus fulgens,Mammalia,Carnivora,Endangered,Decreasing,<10000,Habitat loss,Poaching,Montane forest,Asia,China; Nepal; India; Bhutan,No,2015
Fossa,Cryptoprocta ferox,Mammalia,Carnivora,Vulnerable,Decreasing,<2500,Deforestation,Human-wildlife conflict,Tropical forest,Africa,Madagascar,Yes,2015
Malabar Civet,Viverra civettina,Mammalia,Carnivora,Critically Endangered,Decreasing,Unknown (possibly extinct),Habitat loss,Hunting,Tropical forest,Asia,India,Yes,2015
Vaquita,Phocoena sinus,Mammalia,Cetacea,Critically Endangered,Decreasing,6-8,Bycatch,Illegal wildlife trade,Marine - coastal,North America,Mexico,Yes,2017
Yangtze Finless Porpoise,Neophocaena asiaeorientalis,Mammalia,Cetacea,Critically Endangered,Decreasing,~1249,Pollution,Bycatch,Freshwater river,Asia,China,Yes,2012
Baiji,Lipotes vexillifer,Mammalia,Cetacea,Critically Endangered,Decreasing,0 (possibly extinct),Bycatch,Dams,Freshwater river,Asia,China,Yes,2017
North Atlantic Right Whale,Eubalaena glacialis,Mammalia,Cetacea,Critically Endangered,Decreasing,~370,Bycatch,Vessel strikes,Marine - coastal,North America,USA; Canada,No,2020
North Pacific Right Whale,Eubalaena japonica,Mammalia,Cetacea,Endangered,Unknown,~500,Vessel strikes,Bycatch,Marine - open ocean,Asia,Russia; USA; Japan,No,2018
Rice's Whale,Balaenoptera ricei,Mammalia,Cetacea,Critically Endangered,Unknown,<100,Vessel strikes,Pollution,Marine - open ocean,North America,USA,Yes,2021
Blue Whale,Balaenoptera musculus,Mammalia,Cetacea,Endangered,Increasing,10000-25000,Vessel strikes,Climate change,Marine - open ocean,Worldwide,Worldwide,No,2018
Fin Whale,Balaenoptera physalus,Mammalia,Cetacea,Vulnerable,Increasing,~100000,Vessel strikes,Bycatch,Marine - open ocean,Worldwide,Worldwide,No,2018
Sei Whale,Balaenoptera borealis,Mammalia,Cetacea,Endangered,Increasing,~50000,Vessel strikes,Bycatch,Marine - open ocean,Worldwide,Worldwide,No,2018
Sperm Whale,Physeter macrocephalus,Mammalia,Cetacea,Vulnerable,Unknown,~360000,Bycatch,Pollution,Marine - open ocean,Worldwide,Worldwide,No,2008
Irrawaddy Dolphin,Orcaella brevirostris,Mammalia,Cetacea,Endangered,Decreasing,Unknown,Bycatch,Habitat loss,Freshwater river,Asia,Cambodia; Myanmar; Indonesia,No,2017
South Asian River Dolphin,Platanista gangetica,Mammalia,Cetacea,Endangered,Decreasing,~3500,Dams,Bycatch,Freshwater river,Asia,India; Bangladesh; Nepal,Yes,2021
Amazon River Dolphin,Inia geoffrensis,Mammalia,Cetacea,Endangered,Decreasing,Unknown,Bycatch,Pollution,Freshwater river,South America,Brazil; Peru; Colombia,Yes,2018
Hector's Dolphin,Cephalorhynchus hectori,Mammalia,Cetacea,Endangered,Decreasing,~15000,Bycatch,Disease,Marine - coastal,Oceania,New Zealand,Yes,2008
Maui Dolphin,Cephalorhynchus hectori maui,Mammalia,Cetacea,Critically Endangered,Decreasing,~54,Bycatch,Disease,Marine - coastal,Oceania,New Zealand,Yes,2008
Atlantic Humpback Dolphin,Sousa teuszii,Mammalia,Cetacea,Critically Endangered,Decreasing,<1500,Bycatch,Habitat loss,Marine - coastal,Africa,Senegal; Guinea; Angola,Yes,2017
Mediterranean Monk Seal,Monachus monachus,Mammalia,Carnivora,Endangered,Increasing,~700,Habitat loss,Bycatch,Marine - coastal,Europe,Greece; Turkey; Mauritania,Yes,2015
Hawaiian Monk Seal,Neomonachus schauinslandi,Mammalia,Carnivora,Endangered,Increasing,~1570,Habitat loss,Bycatch,Marine - coastal,Oceania,USA,Yes,2021
Saimaa Ringed Seal,Pusa hispida saimensis,Mammalia,Carnivora,Endangered,Increasing,~400,Bycatch,Climate change,Freshwater lake,Europe,Finland,Yes,2016
Steller Sea Lion,Eumetopias jubatus,Mammalia,Carnivora,Near Threatened,Increasing,~80000,Bycatch,Climate change,Marine - coastal,North America,USA; Russia,No,2015
Galapagos Fur Seal,Arctocephalus galapagoensis,Mammalia,Carnivora,Endangered,Decreasing,10000-15000,Climate change,Bycatch,Marine - coastal,South America,Ecuador,Yes,2015
Dugong,Dugong dugon,Mammalia,Sirenia,Vulnerable,Decreasing,Unknown,Bycatch,Habitat loss,Marine - coastal,Asia,Australia; India; UAE,No,2015
West Indian Manatee,Trichechus manatus,Mammalia,Sirenia,Vulnerable,Decreasing,~13000,Vessel strikes,Habitat loss,Marine - coastal,North America,USA; Mexico; Cuba,No,2008
Amazonian Manatee,Trichechus inunguis,Mammalia,Sirenia,Vulnerable,Decreasing,Unknown,Hunting,Habitat loss,Freshwater river,South America,Brazil; Peru; Colombia,Yes,2008
African Manatee,Trichechus senegalensis,Mammalia,Sirenia,Vulnerable,Decreasing,Unknown,Hunting,Bycatch,Freshwater river,Africa,Senegal; Nigeria; Cameroon,Yes,2015
Tasmanian Devil,Sarcophilus harrisii,Mammalia,Dasyuromorphia,Endangered,Decreasing,~25000,Disease,Habitat loss,Temperate forest,Oceania,Australia,Yes,2022
Koala,Phascolarctos cinereus,Mammalia,Diprotodontia,Vulnerable,Decreasing,Unknown,Habitat loss,Disease,Temperate forest,Oceania,Australia,Yes,2014
Northern Hairy-nosed Wombat,Lasiorhinus krefftii,Mammalia,Diprotodontia,Critically Endangered,Increasing,~315,Habitat loss,Invasive species,Grassland,Oceania,Australia,Yes,2016
